date,index,sumHC,sumHP,vid,city,state,state_abbr,lat,long
2015-01-01T00:00:00+01:00,618.6886659623548,0.6186886659623548,0,METER000001,Rotterdam,NLD,11,51.9633,4.4997
2015-01-01T00:00:00+01:00,607.4471333059184,0.6074471333059185,0,METER000002,Mazoba,ESP,39,43.4167,-3.5833
2015-01-01T00:00:00+01:00,566.7223750895225,0.5667223750895225,0,METER000003,Calv�rde,DEU,14,52.4,11.3
2015-01-01T00:00:00+01:00,610.8522761584665,0.6108522761584665,0,METER000004,Fars�,DNK,7,56.7833,9.35
2015-01-01T00:00:00+01:00,599.5949683714429,0.5995949683714429,0,METER000005,Isola,ITA,9,46.4333,9.3167
2015-01-01T00:00:00+01:00,630.2661033365036,0.6302661033365037,0,METER000006,Allahabad,IND,36,25.45,81.85
2015-01-01T00:00:00+01:00,593.4686168768109,0.5934686168768109,0,METER000007,Hundeshagen,DEU,15,51.4333,10.2833
2015-01-01T00:00:00+01:00,611.552617038366,0.6115526170383659,0,METER000008,Sant Cugat Del Vall�s,ESP,56,41.4714,2.0818
2015-01-01T00:00:00+01:00,612.4890417856927,0.6124890417856927,0,METER000009,Durango,USA,IA,42.5386,-90.8399
2015-01-01T00:00:00+01:00,636.2516129541482,0.6362516129541482,0,METER000010,Surendorf,DEU,10,54.4833,10.0667
2015-01-01T00:00:00+01:00,607.1033132793193,0.6071033132793193,0,METER000011,Pont Du Loup,FRA,B8,43.7142,6.9935
2015-01-01T00:00:00+01:00,625.1334340777614,0.6251334340777615,0,METER000012,Sultan Hamud,KEN,8,-2.0167,37.3667
2015-01-01T00:00:00+01:00,583.2502798388603,0.5832502798388602,0,METER000013,Casal De Al�m,PRT,7,40.2056,-8.6533
2015-01-01T00:00:00+01:00,599.804093468915,0.599804093468915,0,METER000014,Milwaukee,USA,WI,43.0389,-87.9065
2015-01-01T00:00:00+01:00,589.2066018192123,0.5892066018192124,0,METER000015,Grete,DEU,6,53.15,7.5333
2015-01-01T00:00:00+01:00,565.3325899007107,0.5653325899007107,0,METER000016,Sedliste,CZE,87,49.5292,13.6344
2015-01-01T00:00:00+01:00,608.2613106064008,0.6082613106064008,0,METER000017,Y�sero,ESP,52,42.6191,-0.2502
2015-01-01T00:00:00+01:00,606.0478937116851,0.6060478937116851,0,METER000018,Toronto,CAN,ON,43.6667,-79.4167
2015-01-01T00:00:00+01:00,600.8687155286244,0.6008687155286244,0,METER000019,Duluth,USA,GA,33.9595,-84.105
2015-01-01T00:00:00+01:00,609.3554491723091,0.6093554491723091,0,METER000020,Scarborough,ZAF,11,-34.1989,18.3776
2015-01-01T00:00:00+01:00,616.8300669060982,0.6168300669060982,0,METER000021,Salehabad,IRN,10,33.4697,46.188
2015-01-01T00:00:00+01:00,571.7481529706088,0.5717481529706088,0,METER000022,�lesund,NOR,8,62.4723,6.1549
2015-01-01T00:00:00+01:00,588.7220417750165,0.5887220417750165,0,METER000023,Calarasi,ROU,41,44.2,27.3333
2015-01-01T00:00:00+01:00,586.3863988046696,0.5863863988046696,0,METER000024,Gloucester,CAN,ON,45.4167,-75.6
2015-01-01T00:00:00+01:00,599.6691664780815,0.5996691664780814,0,METER000025,Linn Grove,USA,IN,40.645,-85.033
2015-01-01T00:00:00+01:00,609.3484590298774,0.6093484590298774,0,METER000026,San Fernando,PHL,50,15.043,120.7227
2015-01-01T00:00:00+01:00,612.9493250497603,0.6129493250497603,0,METER000027,Opat�wek,POL,86,51.7341,18.2223
2015-01-01T00:00:00+01:00,610.3834822906438,0.6103834822906438,0,METER000028,Obersdorf,AUT,3,48.3667,16.5167
